,REF_DATE,GEO,Type of work,VALUE,Type
0,2018-01,Canada,New construction,13498.0,new
1,2018-01,Canada,Conversion from single to multiple dwelling,475.0,s-to-m
2,2018-01,Canada,Conversion from multiple to multiple dwelling,384.0,m-to-m
3,2018-01,Canada,Conversion from non-residential to residential building,143.0,n-to-r
4,2018-01,Newfoundland and Labrador,New construction,23.0,new
5,2018-01,Newfoundland and Labrador,Conversion from single to multiple dwelling,0.0,s-to-m
6,2018-01,Newfoundland and Labrador,Conversion from multiple to multiple dwelling,0.0,m-to-m
7,2018-01,Newfoundland and Labrador,Conversion from non-residential to residential building,0.0,n-to-r
8,2018-01,Prince Edward Island,New construction,63.0,new
9,2018-01,Prince Edward Island,Conversion from single to multiple dwelling,1.0,s-to-m
10,2018-01,Prince Edward Island,Conversion from multiple to multiple dwelling,0.0,m-to-m
11,2018-01,Prince Edward Island,Conversion from non-residential to residential building,0.0,n-to-r
12,2018-01,Nova Scotia,New construction,100.0,new
13,2018-01,Nova Scotia,Conversion from single to multiple dwelling,3.0,s-to-m
14,2018-01,Nova Scotia,Conversion from multiple to multiple dwelling,0.0,m-to-m
15,2018-01,Nova Scotia,Conversion from non-residential to residential building,2.0,n-to-r
16,2018-01,New Brunswick,New construction,75.0,new
17,2018-01,New Brunswick,Conversion from single to multiple dwelling,1.0,s-to-m
18,2018-01,New Brunswick,Conversion from multiple to multiple dwelling,2.0,m-to-m
19,2018-01,New Brunswick,Conversion from non-residential to residential building,26.0,n-to-r
20,2018-01,Quebec,New construction,2401.0,new
21,2018-01,Quebec,Conversion from single to multiple dwelling,51.0,s-to-m
22,2018-01,Quebec,Conversion from multiple to multiple dwelling,310.0,m-to-m
23,2018-01,Quebec,Conversion from non-residential to residential building,36.0,n-to-r
24,2018-01,Ontario,New construction,5508.0,new
25,2018-01,Ontario,Conversion from single to multiple dwelling,212.0,s-to-m
26,2018-01,Ontario,Conversion from multiple to multiple dwelling,66.0,m-to-m
27,2018-01,Ontario,Conversion from non-residential to residential building,14.0,n-to-r
28,2018-01,Manitoba,New construction,646.0,new
29,2018-01,Manitoba,Conversion from single to multiple dwelling,3.0,s-to-m
30,2018-01,Manitoba,Conversion from multiple to multiple dwelling,0.0,m-to-m
31,2018-01,Manitoba,Conversion from non-residential to residential building,0.0,n-to-r
32,2018-01,Saskatchewan,New construction,177.0,new
33,2018-01,Saskatchewan,Conversion from single to multiple dwelling,23.0,s-to-m
34,2018-01,Saskatchewan,Conversion from multiple to multiple dwelling,0.0,m-to-m
35,2018-01,Saskatchewan,Conversion from non-residential to residential building,0.0,n-to-r
36,2018-01,Alberta,New construction,1863.0,new
37,2018-01,Alberta,Conversion from single to multiple dwelling,61.0,s-to-m
38,2018-01,Alberta,Conversion from multiple to multiple dwelling,1.0,m-to-m
39,2018-01,Alberta,Conversion from non-residential to residential building,0.0,n-to-r
40,2018-01,British Columbia,New construction,2627.0,new
41,2018-01,British Columbia,Conversion from single to multiple dwelling,119.0,s-to-m
42,2018-01,British Columbia,Conversion from multiple to multiple dwelling,5.0,m-to-m
43,2018-01,British Columbia,Conversion from non-residential to residential building,65.0,n-to-r
44,2018-01,Yukon,New construction,0.0,new
45,2018-01,Yukon,Conversion from single to multiple dwelling,1.0,s-to-m
46,2018-01,Yukon,Conversion from multiple to multiple dwelling,0.0,m-to-m
47,2018-01,Yukon,Conversion from non-residential to residential building,0.0,n-to-r
48,2018-01,Northwest Territories,New construction,0.0,new
49,2018-01,Northwest Territories,Conversion from single to multiple dwelling,0.0,s-to-m
50,2018-01,Northwest Territories,Conversion from multiple to multiple dwelling,0.0,m-to-m
51,2018-01,Northwest Territories,Conversion from non-residential to residential building,0.0,n-to-r
52,2018-01,Nunavut,New construction,15.0,new
53,2018-01,Nunavut,Conversion from single to multiple dwelling,0.0,s-to-m
54,2018-01,Nunavut,Conversion from multiple to multiple dwelling,0.0,m-to-m
55,2018-01,Nunavut,Conversion from non-residential to residential building,0.0,n-to-r
56,2018-01,Canada - total census metropolitan area,New construction,11710.0,new
57,2018-01,Canada - total census metropolitan area,Conversion from single to multiple dwelling,388.0,s-to-m
58,2018-01,Canada - total census metropolitan area,Conversion from multiple to multiple dwelling,372.0,m-to-m
59,2018-01,Canada - total census metropolitan area,Conversion from non-residential to residential building,111.0,n-to-r
60,2018-01,Newfoundland and Labrador - total census metropolitan area,New construction,17.0,new
61,2018-01,Newfoundland and Labrador - total census metropolitan area,Conversion from single to multiple dwelling,0.0,s-to-m
62,2018-01,Newfoundland and Labrador - total census metropolitan area,Conversion from multiple to multiple dwelling,0.0,m-to-m
63,2018-01,Newfoundland and Labrador - total census metropolitan area,Conversion from non-residential to residential building,0.0,n-to-r
64,2018-01,"St. John's, Newfoundland and Labrador",New construction,17.0,new
65,2018-01,"St. John's, Newfoundland and Labrador",Conversion from single to multiple dwelling,0.0,s-to-m
66,2018-01,"St. John's, Newfoundland and Labrador",Conversion from multiple to multiple dwelling,0.0,m-to-m
67,2018-01,"St. John's, Newfoundland and Labrador",Conversion from non-residential to residential building,0.0,n-to-r
68,2018-01,Nova Scotia - total census metropolitan area,New construction,44.0,new
69,2018-01,Nova Scotia - total census metropolitan area,Conversion from single to multiple dwelling,0.0,s-to-m
70,2018-01,Nova Scotia - total census metropolitan area,Conversion from multiple to multiple dwelling,0.0,m-to-m
71,2018-01,Nova Scotia - total census metropolitan area,Conversion from non-residential to residential building,0.0,n-to-r
72,2018-01,"Halifax, Nova Scotia",New construction,44.0,new
73,2018-01,"Halifax, Nova Scotia",Conversion from single to multiple dwelling,0.0,s-to-m
74,2018-01,"Halifax, Nova Scotia",Conversion from multiple to multiple dwelling,0.0,m-to-m
75,2018-01,"Halifax, Nova Scotia",Conversion from non-residential to residential building,0.0,n-to-r
76,2018-01,New Brunswick - total census metropolitan area,New construction,25.0,new
77,2018-01,New Brunswick - total census metropolitan area,Conversion from single to multiple dwelling,0.0,s-to-m
78,2018-01,New Brunswick - total census metropolitan area,Conversion from multiple to multiple dwelling,2.0,m-to-m
79,2018-01,New Brunswick - total census metropolitan area,Conversion from non-residential to residential building,26.0,n-to-r
80,2018-01,"Fredericton, New Brunswick",New construction,13.0,new
81,2018-01,"Fredericton, New Brunswick",Conversion from single to multiple dwelling,1.0,s-to-m
82,2018-01,"Fredericton, New Brunswick",Conversion from multiple to multiple dwelling,0.0,m-to-m
83,2018-01,"Fredericton, New Brunswick",Conversion from non-residential to residential building,0.0,n-to-r
84,2018-01,"Moncton, New Brunswick",New construction,16.0,new
85,2018-01,"Moncton, New Brunswick",Conversion from single to multiple dwelling,0.0,s-to-m
86,2018-01,"Moncton, New Brunswick",Conversion from multiple to multiple dwelling,0.0,m-to-m
87,2018-01,"Moncton, New Brunswick",Conversion from non-residential to residential building,0.0,n-to-r
88,2018-01,"Saint John, New Brunswick",New construction,9.0,new
89,2018-01,"Saint John, New Brunswick",Conversion from single to multiple dwelling,0.0,s-to-m
90,2018-01,"Saint John, New Brunswick",Conversion from multiple to multiple dwelling,2.0,m-to-m
91,2018-01,"Saint John, New Brunswick",Conversion from non-residential to residential building,26.0,n-to-r
92,2018-01,Quebec - total census metropolitan area,New construction,2169.0,new
