,_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,WORK,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,GEO_ID,WARD_GRID,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,INSTITUTIONAL,RESIDENTIAL,BUSINESS_AND_PERSONAL_SERVICES,MERCANTILE,INDUSTRIAL,INTERIOR_ALTERATIONS,DEMOLITION,BUILDER_NAME
169544,169545,19 147633 BLD,0,Small Residential Projects,Laneway / Rear Yard Suite,New Laneway / Rear Yard Suite,23,HELENA,AVE, ,M6G,819157.0,S1235,2019-05-01,2021-09-01,2023-10-26,Closed,Proposal to demolish existing detached garage and construct new two-storey laneway suite. ,Sfd,Sfd W/Laneway Suite,1.0,0.0,"250,000",0.0,0.0,66.72,0.0,0.0,0.0,0.0,0.0,
169545,169546,19 147633 BLD,1,Small Residential Projects,Laneway / Rear Yard Suite,New Laneway / Rear Yard Suite,23,HELENA,AVE, ,M6G,819157.0,S1235,2022-08-15,2022-11-04,2023-10-26,Closed,"REV 01: NEW FOUNDATION DESIGN, REVISION TO CONSTRUCTION ASSEMBLY OF WEST WALL, ADDITION OF 1"" EXTERIOR INSULATION TO WALLS andADDITION OF ROOF INSULATION.Proposal to demolish existing detached garage and construct new two-storey laneway suite. ",Sfd,Sfd W/Laneway Suite,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
180180,180181,19 207174 BLD,1,Small Residential Projects,Laneway / Rear Yard Suite,New Laneway / Rear Yard Suite,376,SUMACH,ST, ,M4X,2617496.0,S1327,2020-07-17,2020-07-27,2023-03-10,Closed,Revision to Energy Efficiency Design Summary form - partial demolition of the existing rear garage and to construct a new 2 storey laneway suite.,Detached Garage,Laneway Suite,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
180181,180182,19 207174 BLD,2,Small Residential Projects,Laneway / Rear Yard Suite,New Laneway / Rear Yard Suite,376,SUMACH,ST, ,M4X,2617496.0,S1327,2020-09-25,2020-10-20,2023-03-10,Closed,Revision 01: changes to the structural framingRevision to Energy Efficiency Design Summary form - partial demolition of the existing rear garage and to construct a new 2 storey laneway suite.,Detached Garage,Laneway Suite,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
180182,180183,19 207174 BLD,0,Small Residential Projects,Laneway / Rear Yard Suite,New Laneway / Rear Yard Suite,376,SUMACH,ST, ,M4X,2617496.0,S1327,2019-08-16,2020-06-19,2023-03-10,Closed,Proposal for the partial demolition of the existing rear garage and to construct a new 2 storey laneway suite.,Detached Garage,Laneway Suite,1.0,0.0,300000,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,
182630,182631,19 221675 BLD,3,Small Residential Projects,2 Unit - Detached,New Laneway / Rear Yard Suite,568,DOVERCOURT,RD, ,M6H,8392741.0,S0934,2022-08-05,2023-02-09,2023-09-07,Closed,"Revision #03 - Proposed fire system. REVISION 2 - changes to height of building and interior layout and hvac redesign due to relocation of mechanical roomBLD, PLB, DRN - Proposal to construct a new two storey laneway suite with a basement",Sfd,Sfd W/ Laneway Suite,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
182631,182632,19 221675 BLD,5,Small Residential Projects,Laneway / Rear Yard Suite,New Laneway / Rear Yard Suite,568,DOVERCOURT,RD, ,M6H,8392741.0,S0934,2023-05-23,2023-06-02,2023-09-07,Closed,Revision - 05:  to remove detectors and interior strobe systemsOption 1: Automatic sprinkler; exterior strobe light and smoke alarms/warning system to be provided.,Sfd,Sfd W/ Laneway Suite,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
182632,182633,19 221675 BLD,6,Small Residential Projects,Laneway / Rear Yard Suite,New Laneway / Rear Yard Suite,568,DOVERCOURT,RD, ,M6H,8392741.0,S0934,2023-07-21,2023-08-15,2023-09-07,Closed,"REVISION 06: FIRE SERVICE.  SPRINKLERS SYSTEMS TO SUIT AS BUILT REQUEST FROM INSPECTOR.BLD, PLB, DRN - Proposal to construct a new two storey laneway suite with a basement",Sfd,Sfd W/ Laneway Suite,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
182633,182634,19 221675 BLD,4,Small Residential Projects,Laneway / Rear Yard Suite,New Laneway / Rear Yard Suite,568,DOVERCOURT,RD, ,M6H,8392741.0,S0934,2022-10-25,2022-11-08,2023-09-07,Closed,Revision 04: Proposal to keep the oriel window and lda agreement in place,Sfd,Sfd W/ Laneway Suite,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
182634,182635,19 221675 BLD,2,Small Residential Projects,2 Unit - Detached,New Laneway / Rear Yard Suite,568,DOVERCOURT,RD, ,M6H,8392741.0,S0934,2022-02-18,2022-03-10,2023-09-07,Closed,"REVISION 2 - changes to height of building and interior layout and hvac redesign due to relocation of mechanical roomBLD, PLB, DRN - Proposal to construct a new two storey laneway suite with a basement",Sfd,Sfd W/ Laneway Suite,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
